"id","timestamp","session_id","LINKS","MIDDEN","RECHTS"
"440","2024-12-26 21:39:56.204877+00","1","0","1","0"
"441","2024-12-26 21:39:57.733429+00","1","0","0","1"
"442","2024-12-26 21:39:59.456877+00","1","0","1","0"
"443","2024-12-26 21:40:00.177906+00","1","0","1","0"
"444","2024-12-26 21:40:01.771108+00","1","1","0","0"
"445","2024-12-26 21:40:02.145344+00","1","1","0","0"
"446","2024-12-26 21:40:02.369357+00","1","1","0","0"
"447","2024-12-26 21:40:02.460697+00","1","1","0","0"
"448","2024-12-26 21:40:02.553209+00","1","1","0","0"
"449","2024-12-26 21:40:02.873151+00","1","1","0","0"
"450","2024-12-26 21:40:04.100718+00","1","0","1","0"
"451","2024-12-26 21:40:04.659351+00","1","0","0","1"
"452","2024-12-26 21:40:05.945012+00","1","0","1","0"
"453","2024-12-26 21:40:06.364596+00","1","1","0","0"
"454","2024-12-26 21:40:08.801062+00","1","0","1","0"
"455","2024-12-26 21:40:10.005305+00","1","0","1","0"
"456","2024-12-26 21:40:10.482916+00","1","1","0","0"
"457","2024-12-26 21:40:11.929051+00","1","0","1","0"
"458","2024-12-26 21:40:12.326486+00","1","0","0","1"
"459","2024-12-26 21:40:14.406489+00","1","0","1","0"
"460","2024-12-26 21:40:15.138204+00","1","1","0","0"
"461","2024-12-26 21:40:16.647316+00","1","0","1","0"
"462","2024-12-26 21:40:17.973511+00","1","1","0","0"
"463","2024-12-26 21:40:19.707296+00","1","0","1","0"
"464","2024-12-26 21:40:20.232191+00","1","0","0","1"
"465","2024-12-26 21:40:21.816035+00","1","0","1","0"
"466","2024-12-26 21:40:23.027763+00","1","1","0","0"
"467","2024-12-26 21:40:24.889203+00","1","0","1","0"
"468","2024-12-26 21:40:26.100385+00","1","1","0","0"
"469","2024-12-26 21:40:27.75147+00","1","0","1","0"
"470","2024-12-26 21:40:28.124644+00","1","0","0","1"
"471","2024-12-26 21:40:30.154825+00","1","0","1","0"
"472","2024-12-26 21:40:30.555985+00","1","0","0","1"
